badge,city,companyField,company_name,job_edu,job_exp,job_name,job_publisher_name,job_publisher_post,job_sec,job_tags,job_url,positionAdvantage,publish_time
15k-30k,北京,"移动互联网,文化娱乐",快看世界（北京）科技有限公司,本科,1-3年,数据分析,,,本科,"金融,数据挖掘,用户研究",https://www.lagou.com/jobs/4006595.html,"七险一金,团队氛围好,福利待遇好,公司发展好",2018-03-08 16:42:01
10k-15k,北京,"移动互联网,文化娱乐",北京车之家信息技术有限公司,本科,3-5年,数据分析师,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/4225734.html,"绩效奖金,年终奖,带薪年病假,旅游团建",2018-03-08 11:18:48
15k-25k,北京,"移动互联网,教育",北京作业盒子科技有限公司,本科,1-3年,数据分析师,,,本科,"专家,大数据,数据挖掘",https://www.lagou.com/jobs/3638815.html,"扁平化管理,期权,公司氛围好,互联网教育",2018-03-07 19:56:29
10k-20k,北京,"数据服务,企业服务",北京国双科技有限公司,本科,5-10年,数据分析师,,,本科,"媒体,广告营销,高级,大数据,SQL",https://www.lagou.com/jobs/3272255.html,上市公司 六险一金 牛人多,2018-03-06 09:46:26
10k-20k,北京,电子商务,北京京东世纪贸易有限公司,本科,3-5年,数据分析师,,,本科,"SPSS,sas",https://www.lagou.com/jobs/3977483.html,"大平台,有班车,大牛多",2018-03-06 19:11:54
10k-20k,北京,"移动互联网,教育",光合新知（北京）科技有限公司,大专,1-3年,数据分析,,,大专,"高级,中级,运营,产品经理,大数据",https://www.lagou.com/jobs/3983242.html,"免费早午餐,年假15天,指数级增长,数据量大",2018-03-07 22:02:16
13k-20k,北京,"移动互联网,游戏",奇虎360科技有限公司,本科,1-3年,数据分析,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/3175648.html,薪资待遇给力，团队氛围融洽,2018-03-05 10:54:06
10k-20k,北京,"移动互联网,文化娱乐",炫一下（北京）科技有限公司,本科,3-5年,数据分析师,,,本科,"专员,大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/4043973.html,超nice的团队 免费早餐,2018-03-06 11:16:20
10k-20k,北京,"移动互联网,教育",上海一起作业信息科技有限公司,本科,1-3年,数据分析,,,本科,"高级,业务运营,大数据,数据挖掘",https://www.lagou.com/jobs/2940908.html,"完善薪酬,完善福利,办公环境佳,与大牛共事",2018-03-07 14:22:20
8k-15k,北京,"广告营销,文化娱乐",北京爱奇艺科技有限公司,本科,1-3年,数据分析师,,,本科,,https://www.lagou.com/jobs/3807494.html,六险一金 12天年假 补助,2018-03-06 23:50:10
18k-36k,北京,"移动互联网 ,游戏",腾讯科技(深圳)有限公司,本科,3-5年,23048-数据分析师,,,本科,数据挖掘,https://www.lagou.com/jobs/3413899.html,"大平台,新领域,大咖多",2018-03-08 10:29:26
15k-30k,北京,"移动互联网,社交网络",北京默契破冰科技有限公司,本科,3-5年,数据分析师,,,本科,"游戏,社交,文化娱乐,大数据,数据挖掘",https://www.lagou.com/jobs/3569199.html,"六险一金,弹性不打卡,免费午餐,季度旅游",2018-03-08 14:27:53
15k-30k,北京,"移动互联网,金融",包头市包银消费金融股份有限公司,本科,1-3年,数据分析,,,本科,"金融,行业研究,数据挖掘,sas",https://www.lagou.com/jobs/2966105.html,"六险一金,定期团建,节日福利",2018-03-01 09:18:51
10k-20k,北京,"移动互联网,O2O",北京三快在线科技有限公司,本科,1-3年,数据分析师,,,本科,"BI,业务运营,SPSS,sas,R",https://www.lagou.com/jobs/3798453.html,"六险一金,发展好,团队氛围赞",2018-02-26 10:41:54
10k-20k,北京,"移动互联网,金融",北京新工场投资顾问有限公司,本科,1-3年,数据分析师,,,本科,,https://www.lagou.com/jobs/3803867.html,互联网金融 期权激励 六险一金 优秀团队,2018-03-08 11:20:05
15k-25k,北京,"移动互联网,文化娱乐",北京车之家信息技术有限公司,本科,3-5年,数据分析师,,,本科,"汽车,行业研究,市场分析",https://www.lagou.com/jobs/3979904.html,福利待遇好,2018-03-08 11:23:54
10k-20k,北京,"移动互联网,文化娱乐",炫一下（北京）科技有限公司,本科,3-5年,数据分析,,,本科,"移动互联网,高级,专员,商业,业务运营",https://www.lagou.com/jobs/3936507.html,业务发展快，成长空间大,2018-03-05 13:41:05
15k-30k,北京,"移动互联网,旅游",北京蚂蜂窝网络科技有限公司,本科,3-5年,数据分析师,,,本科,"大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/2853840.html,"海量数据,核心业务",2018-03-07 17:56:57
18k-35k,北京,"移动互联网,游戏",奇虎360科技有限公司,本科,3-5年,数据分析师,,,本科,"金融,BI,可视化,业务运营,growth",https://www.lagou.com/jobs/2955856.html,平台大、发展好，业务发展迅速,2018-03-07 12:16:54
15k-25k,北京,"移动互联网,金融",银客未来科技（北京）有限公司,本科,1-3年,数据分析师,,,本科,"大数据,数据挖掘",https://www.lagou.com/jobs/3463098.html,"七险一金,绩效奖金,员工福利,弹性工作",2018-03-06 18:56:19
