badge,city,companyField,company_name,job_edu,job_exp,job_name,job_publisher_name,job_publisher_post,job_sec,job_tags,job_url,positionAdvantage,publish_time
4k-8k,西安,"电子商务,O2O",西安亚购信息科技有限公司,大专,1-3年,数据分析员,,,大专,,https://www.lagou.com/jobs/2353221.html,十三薪；五险一金；出国机会；弹性工作,2018-03-06 09:57:39
5k-7k,西安,"O2O,电子商务",陕西司集能源科技有限公司,大专,1-3年,数据分析,,,大专,"大数据,专员,数据挖掘,SPSS",https://www.lagou.com/jobs/4218470.html,"五险一金,餐补,创业公司,加班补助",2018-03-07 11:50:09
3k-6k,西安,"广告营销,企业服务",西安元茂广告文化传播有限公司,大专,1-3年,数据分析,,,大专,,https://www.lagou.com/jobs/4187559.html,"双休,法定节假日,五险,节日福利",2018-03-06 11:45:55
8k-15k,西安,"移动互联网,O2O",途家网网络技术（北京）有限公司,本科,不限,数据分析师-西安J10013,,,本科,,https://www.lagou.com/jobs/4010581.html,"带薪年假,发展空间大",2018-02-24 15:42:24
8k-15k,西安,"移动互联网,电子商务",西安远古信息科技股份有限公司,本科,3-5年,数据分析工程师,,,本科,"中级,大数据,spark,hadoop",https://www.lagou.com/jobs/4189452.html,"大数据,最多5个字,最多5个字,最多5个字",2018-03-05 15:34:08
6k-12k,西安,数据服务,西安美林电子有限责任公司,本科,1-3年,数据分析师,,,本科,,https://www.lagou.com/jobs/1288457.html,五险一金、商业保险、节日福利等等,2018-02-24 08:53:43
4k-6k,西安,其他,西安链家宝业房地产经纪有限公司,本科,1年以下,数据分析专员,,,本科,"SPSS,数据管理",https://www.lagou.com/jobs/3736342.html,"节日福利,周末双休,员工旅游,五险一金",2018-03-01 14:35:52
4k-6k,西安,"移动互联网,O2O",西安链家宝业房地产经纪有限公司雁塔区第一分公司,本科,1-3年,链家网经管专员（偏数据分析类）,,,本科,"商业,业务运营,运营",https://www.lagou.com/jobs/4008056.html,"五险一金,年底双薪,带薪年假,双休",2018-03-06 09:49:03
7k-12k,西安,教育,学大教育西安分公司,本科,不限,教育行业用户研究（偏数据分析）,,,本科,"教育,需求分析,大数据,数据挖掘",https://www.lagou.com/jobs/3810844.html,"发展平台好,行业潜力大",2018-02-26 18:34:22
10k-20k,上海,医疗健康,平安万家医疗投资管理有限责任公司,本科,1-3年,数据分析,,,本科,"专员,运营,大数据,数据挖掘",https://www.lagou.com/jobs/3043505.html,平安子公司，良好的发展平台,2018-03-06 15:56:11
15k-24k,上海,金融,微贷（杭州）金融信息服务有限公司,本科,3-5年,数据分析师,,,本科,"数据挖掘,大数据,BI,SPSS",https://www.lagou.com/jobs/4106365.html,"扁平化,高端办公室,核心部门,丰厚福利",2018-03-07 21:05:22
10k-15k,上海,金融,平安科技（深圳）有限公司,本科,不限,数据分析师（上海）,,,本科,"金融,软件开发,大数据,数据挖掘,建模,机器学习",https://www.lagou.com/jobs/3715491.html,世界500强 带薪年假 节日福利 绩效丰厚,2018-03-08 15:52:25
10k-20k,上海,"金融,数据服务",杭州恩牛网络技术有限公司,本科,1-3年,数据分析（上海）,,,本科,"数据挖掘,SPSS",https://www.lagou.com/jobs/4184711.html,"全员mac,16薪起,六险一金,弹性工作制",2018-03-08 10:34:27
